이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
이름: 국내 채권 펀드, 운용사: 신한BNP파리바자산운용, 펀드 유형: 채권형, 수익률: 3.2%, 위험도: 2, 설정일: 2020-09-01, 기초자산: 국내 채권, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고배당 채권 펀드, 운용사: 키움자산운용, 펀드 유형: 채권형, 수익률: 4.2%, 위험도: 4, 설정일: 2019-11-15, 기초자산: 고배당 채권, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안전한 채권 펀드, 운용사: 삼성자산운용, 펀드 유형: 채권형, 수익률: 3.5%, 위험도: 2, 설정일: 2020-01-01, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 5년, 신용 등급: AAA, 배당 빈도: 분기
이름: 고수익 채권 펀드, 운용사: 미래에셋, 펀드 유형: 채권형, 수익률: 4.0%, 위험도: 4, 설정일: 2019-05-15, 기초자산: 회사채, 운용 방식: 액티브, 최소 투자 금액: 500만원, 평균 만기: 7년, 신용 등급: A, 배당 빈도: 반기
이름: 안정형 채권 펀드, 운용사: KB자산운용, 펀드 유형: 채권형, 수익률: 3.0%, 위험도: 2, 설정일: 2018-03-10, 기초자산: 국채, 운용 방식: 수동형, 최소 투자 금액: 100만원, 평균 만기: 4년, 신용 등급: AAA, 배당 빈도: 분기
이름: 글로벌 채권 펀드, 운용사: 한화자산운용, 펀드 유형: 채권형, 수익률: 3.8%, 위험도: 3, 설정일: 2021-07-20, 기초자산: 글로벌 채권, 운용 방식: 액티브, 최소 투자 금액: 300만원, 평균 만기: 6년, 신용 등급: AA, 배당 빈도: 반기
